Unique ID,Name,Address,Type,Capacity,LAT,LONG,County,Address,City,State,Zip,MailingAddress,MailingCity,MailingState,MailingZip,Phone,Operation_Months,Operation_Days,Hours_Open,Hours_Close,Infant_0_To_12mos,Toddler_13mos_To_2yrs,Preschool_3yrs_To_4yrs,Pre_K_Served,School_Age_5yrs_Plus,Ages_Other_Than_Pre_K_Served,Accepts_Child_Care_Subsidy,Has_Evening_Care,Has_Drop_In_Care,Has_School_Age_Summer_Care,Has_Transport_ToFrom_School,Has_Transport_ToFrom_Home,Has_Cacfp,Accreditation_Status,Provider_Type,Exemption_Category,Available_PreK_Slots,Funded_PreK_Slots,QR_Participant,QR_Rated,QR_Rating
CCLC-100,Lolly's Prekindergarten C C Center,"5121 Page Street, Eastman, GA",Child Care Learning Center,107,32.2091915,-83.1786188,Dodge,5121 Page Street,Eastman,GA,31023,5511 6th Ave.,Eastman,GA,31023,(478) 374-2805,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:00 AM,6:00 PM,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,CCLC,,44,44,TRUE,TRUE,2
CCLC-1008,Highlands School,"9405 Nesbit Ferry Road, Alpharetta, GA",Child Care Learning Center,142,34.0071337,-84.2782023,Fulton,9405 Nesbit Ferry Road,Alpharetta,GA,30022,9405 Nesbit Ferry Road,Alpharetta,GA,30022,(770) 594-1006,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 AM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,CCLC,,66,66,TRUE,FALSE,
CCLC-103,Sheltering Arms - International Village Center,"3375 Chamblee Dunwoody Road, Atlanta, GA",Child Care Learning Center,236,33.8924793,-84.2970174,DeKalb,3375 Chamblee Dunwoody Road,Atlanta,GA,30341,3375 Chamblee Dunwoody Road,Atlanta,GA,30341,(770) 454-6220,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NAEYC,CCLC,,64,64,TRUE,TRUE,3
CCLC-104,The Sunshine House #36,"248 Fury's Ferry Road, Martinez, GA",Child Care Learning Center,179,33.5191916,-82.061952,Richmond,248 Fury's Ferry Road,Martinez,GA,30907,248 Fury's Ferry Road,Martinez,GA,30907,(706) 860-2726,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,CCLC,,44,44,TRUE,FALSE,
CCLC-105,The Sunshine House #78,"5060 Annistown Rd, Stone Mountain, GA",Child Care Learning Center,125,33.8061285,-84.0919211,Gwinnett,5060 Annistown Rd,Stone Mountain,GA,30087,5060 Annistown Rd,Stone Mountain,GA,30087,(770) 469-1333,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,CCLC,,66,66,TRUE,FALSE,
CCLC-1074,Samuel L. Jones Child Care Center,"2080 Cascade Rd.  SW, Atlanta, GA",Child Care Learning Center,108,33.7210391,-84.4552515,Fulton,2080 Cascade Rd.  SW,Atlanta,GA,30311,PO Box 42467,Atlanta,GA,30311,(404) 753-0411,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:00 PM,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NAEYC,CCLC,,44,44,TRUE,TRUE,2
CCLC-1075,Samuel Nabrit Child Care Center,"2035 Campbellton Road SW, Atlanta, GA",Child Care Learning Center,61,33.7075929,-84.4553745,Fulton,2035 Campbellton Road SW,Atlanta,GA,30311,P. O. Box 42467,Atlanta,GA,30311,(404) 753-0802,JAN FEB MAR APR MAY JUN SEP OCT NOV DEC,MO TU WE TH FR,7:00 AM,4:00 PM,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NAEYC,CCLC,,22,22,TRUE,TRUE,3
CCLC-10764,ABC  Another Bright Creation  Early Learning and Daycare Center,"409 Carlton Road, Palmetto, GA",Child Care Learning Center,185,33.5296654,-84.6648157,Fulton,409 Carlton Road,Palmetto,GA,30268,409 Carlton Road,Palmetto,GA,30268,(770) 463-6881,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,CCLC,,22,22,TRUE,FALSE,
CCLC-10765,Discovery Point Child Development Center #29,"3052 Highway 154, Newnan, GA",Child Care Learning Center,227,33.4127513,-84.6835638,Coweta,3052 Highway 154,Newnan,GA,30265,3052 Highway 154,Newnan,GA,30265,(770) 254-1880,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,CCLC,,7,44,TRUE,TRUE,2
CCLC-10777,The Clifton School/The Clifton Site,"1700 Clifton Road  NE, Atlanta, GA",Child Care Learning Center,374,33.8001735,-84.3288024,DeKalb,1700 Clifton Road  NE,Atlanta,GA,30329,1700 Clifton Road  NE,Atlanta,GA,30329,(404) 636-4073,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:00 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NAEYC,CCLC,,2,22,TRUE,FALSE,
