Lat,Long,Provider ID,Name,License Type,License Status,Initial License Date ,Capacity,Address,Phone#
40.6469217,-111.8681815,15590,24 HOUR FITNESS - 9TH STREET KIDS' CLUB,"EXEMPT DROP-IN CENTER, BACKGROUND CHECKS BY CCL",REGULATED,8/27/04,,"5684 S 900 E MURRAY, UT 84121",(801) 263-2401
40.5628993,-111.8506171,9316,24 HOUR FITNESS - SANDY KIDS' CLUB,"EXEMPT DROP-IN CENTER, BACKGROUND CHECKS BY CCL",REGULATED,5/24/00,,"10365 S 1300 E SANDY, UT 84094",(801) 619-0700
40.7208003,-111.8591875,10303,24 HOUR FITNESS - SUGARHOUSE KIDS' CLUB,"EXEMPT DROP-IN CENTER, BACKGROUND CHECKS BY CCL",REGULATED,5/24/00,,"1121 EAST ASHTON AVE SALT LAKE CITY, UT 84106",(801) 466-2030
40.6464083,-111.9445174,13647,24 HOUR FITNESS - TAYLORSVILLE KIDS' CLUB,"EXEMPT DROP-IN CENTER, BACKGROUND CHECKS BY CCL",REGULATED,1/16/03,,"5766 S 1900 W TAYLORSVILLE, UT 84129",(801) 968-7924
40.7578479,-111.8703661,16124,24 HOUR FITNESS - TROLLEY CORNERS KIDS' CLUB,"EXEMPT DROP-IN CENTER, BACKGROUND CHECKS BY CCL",REGULATED,1/6/05,,"515 S 700 E SALT LAKE CITY, UT 84102",(801) 741-1124
40.7497809,-111.8810098,42374,9TH SOUTH MONTESSORI,CENTER,REGULATED,4/24/15,29,"346 EAST 900 SOUTH SALT LAKE CITY, UT 84111",(801) 532-4531
37.0983309,-113.5617829,1505,A CHILD'S WORLD,CENTER,REGULATED,7/17/95,174,"1017 EAST 600 SOUTH SAINT GEORGE, UT 84790",(435) 628-8682
40.3808053,-111.7962836,26823,A TO Z BUILDING BLOCKS ON 1ST,CENTER,REGULATED,5/19/06,63,"195 NORTH 100 EAST AMERICAN FORK, UT 84003",(801) 763-0722
40.3800764,-111.7909271,16660,A TO Z BUILDING BLOCKS ON 3RD,CENTER,REGULATED,8/10/05,27,"153 NORTH 300 EAST AMERICAN FORK, UT 84003",(801) 763-8991
40.3052099,-111.7117665,44861,A TO Z BUILDING BLOCKS ON 4TH,CENTER,REGULATED,10/15/15,165,"670 W 400 N OREM, UT 84057",(801) 224-4744
40.3608707,-111.9755483,60214,A TO Z BUILDING BLOCKS ON RANCHES PKWY,CENTER,REGULATED,1/29/18,85,"3563 E RANCHES PKWY EAGLE MOUNTAIN, UT 84005",(801) 789-7800
40.5307776,-112.29828,65704,"ABADIA, JANNETH","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,8/2/18,,"TOOELE, UT 84074",(801) 688-9299
40.8038325,-112.0237903,2609,"ABALOS, SYLVIA VALLI DBA LESLY'S FRIENDS CHILD",LICENSED FAMILY,REGULATED,8/1/94,16,"SALT LAKE CITY, UT 84116",(801) 355-7405
41.1137076,-112.0190969,27086,ABC GREAT BEGINNINGS - CLEARFIELD,CENTER,REGULATED,9/1/06,115,"360 EAST CENTER STREET CLEARFIELD, UT 84015",(801) 773-7303
40.6210671,-111.9861103,28758,ABC GREAT BEGINNINGS - JORDAN LANDING,CENTER,REGULATED,6/29/10,251,"7172 SOUTH CENTER PARK DRIVE WEST JORDAN, UT 84084",(801) 280-9222
40.6402043,-111.8991046,14539,ABC GREAT BEGINNINGS - MURRAY,CENTER,REGULATED,8/26/03,84,"6006 SOUTH 300 WEST MURRAY, UT 84107",(801) 747-1016
40.6922017,-111.9405583,3762,ABC GREAT BEGINNINGS - REDWOOD,CENTER,REGULATED,12/1/92,154,"3672 SOUTH REDWOOD ROAD WEST VALLEY, UT 84119",(801) 974-9096
40.5236544,-111.989069,37234,ABC GREAT BEGINNINGS - RIVERTON,CENTER,REGULATED,2/14/14,249,"12523 SOUTH 4150 WEST RIVERTON, UT 84065",(801) 316-1071
40.571679,-111.9111695,28736,ABC GREAT BEGINNINGS - SOUTH JORDAN,CENTER,REGULATED,6/1/10,31,"724 WEST SHIELDS LANE SOUTH JORDAN, UT 84095",(801) 432-8002
40.6200774,-111.9383226,57819,ABC GREAT BEGINNINGS - WEST JORDAN,CENTER,REGULATED,5/30/17,237,"7195 S REDWOOD ROAD WEST JORDAN, UT 84084",(801) 233-0333
