Unique ID	Name	Address	Type	Capacity	LAT	LONG	Phone	License/Registration Duration	Expiration	Adminisrator	Hours	Ages	Inspector	Subsidy?
44101	Ms. Wanda Simms	"1052 Trestle Way, CHESAPEAKE, VA  23324"	Voluntary Registration	4	36.7978942	-76.2774299	(757) 292-0566	Two Year	"Oct. 30, 2019"	Ms. Wanda Simms		Not Available	Melinda  Popkin:    (757) 802-5281	Yes
32124	St. Mark Coptic Orthodox Church	"11911 Braddock Road, FAIRFAX, VA  22030"	Religious Exempt Child Day Center	146	38.8296586	-77.3581942	(703) 591-1216	Exempt	13-Mar-18	. Danielle  Miller		2 years           -         12 years              11 months		
44459	Ms. Quendale Ward	"3209 Downes Street, PORTSMOUTH, VA  23704"	Voluntary Registration	4	36.8180129	-76.3306421	(757) 295-4575	Two Year	22-Apr-20	Ms. Quendale Ward	"12:00 am  - 12:00pm,   Monday - Sunday"	Not Available	2 years           -         12 years              11 months	
34272	Ms. Shontel Johnson-Carroll	"6286 Dahlia Road, MECHANICSVILLE, VA  23111"	Voluntary Registration	Not Available	37.5974393	-77.3217785	(804) 439-5833	Two Year	"Aug. 2, 2019"	Ms. Shontel Johnson-Carroll	"4:00 a.m.  - 12:00 a.m.,   Monday - Saturday"	Not Available	Cynthia  Carneal:    (804) 726-7140	No
44079	Sadiqa Westry	"1619 Stansbury Avenue, RICHMOND, VA  23225"	Voluntary Registration	Not Available	37.4855305	-77.5040501	(804) 868-8157	Two Year	"Sept. 6, 2019"	Sadiqa Westry	"4:00 a.m.  - 6:00 p.m.,   Mon-Fri ; Sat-Sun 24 hours"	Not Available	Cynthia  Carneal:    (804) 726-7140	No
44559	Ms. Siham Errouah	"320 Lancaster Square, STERLING, VA  20164"	Voluntary Registration	Not Available	38.9976843	-77.4014527	(571) 228-2181	Two Year	20-Jul-20	Ms. Siham Errouah	"4:00 a.m.  - 9:00 p.m.,   Monday - Friday"	Not Available	Cynthia  Carneal:    (804) 726-7140	No
37622	Ms. Rossetta Jones	"106 Rockland Terrance, SUFFOLK, VA  23434-2053"	Voluntary Registration	Not Available	36.7778642	-76.533723	(757) 538-3747	Two Year	"Sept. 8, 2018"	Ms. Rossetta Jones	"5:00 a.m.  - 5:00 p.m.,   Monday - Friday"	Not Available	Melinda  Popkin:    (757) 802-5281	No
29972	Ms. Peggy Lewis	"1603 Harmon Street, Apt. 102, NORFOLK, VA  25318"	Voluntary Registration	4	36.9156496	-76.2317339	(757) 240-8496	Two Year	14-Apr-19	Ms. Peggy Lewis	"5:00 A.M.  - 5:30 P.M.,   Monday - Friday"	Not Available	Jackie  Ware:    (757) 404-3063	
35991	Ms. Tiffany Young	"13554 Bentley Circle, WOODBRIDGE, VA  22192"	Voluntary Registration	Not Available	38.659997	-77.309011	(703) 878-6807	Two Year	"Sept. 17, 2019"	Ms. Tiffany Young	"5:00 A.M.  - 6:00 P.M.,   Monday - Friday"	Not Available	Cynthia  Carneal:    (804) 726-7140	No
39285	Ms. Yvette Smith	"471 Queens Creek Road, WILLIAMSBURG, VA  23185"	Voluntary Registration	Not Available	37.2705445	-76.6611726	(757) 951-5264	Two Year	"Oct. 9, 2018"	Ms. Yvette Smith	"5:00 a.m.  - 7:00 p.m.,   Monday - Friday"	Not Available	Cynthia  Carneal:    (804) 726-7140	No
